20110418T,24.0,24.0,24.0,24.0,0
20110419T,24.0,24.0,24.0,24.0,0
20110420T,25.0,25.0,25.0,25.0,0
20110421T,30.0,30.0,30.0,30.0,0
20110425T,35.0,35.0,35.0,35.0,0
20110426T,36.0,36.0,36.0,36.0,0
20110427T,37.0,37.0,37.0,37.0,0
20110428T,37.0,37.0,37.0,37.0,0
20110429T,41.0,41.0,41.0,41.0,0
20110502T,36.0,36.0,36.0,36.0,0
20110503T,31.0,31.0,31.0,31.0,0
20110504T,30.0,30.0,30.0,30.0,0
20110505T,29.0,29.0,29.0,29.0,0
20110506T,27.0,27.0,27.0,27.0,0
20110509T,28.0,28.0,28.0,28.0,0
20110510T,31.0,31.0,31.0,31.0,0
20110511T,31.0,31.0,31.0,31.0,0
20110512T,32.0,32.0,32.0,32.0,0
20110513T,32.0,32.0,32.0,32.0,0
20110516T,27.0,27.0,27.0,27.0,0
20110517T,27.0,27.0,27.0,27.0,0
20110518T,25.0,25.0,25.0,25.0,0
20110519T,23.0,23.0,23.0,23.0,0
20110520T,22.0,22.0,22.0,22.0,0
20110523T,16.0,16.0,16.0,16.0,0
20110524T,13.0,13.0,13.0,13.0,0
20110525T,13.0,13.0,13.0,13.0,0
20110526T,15.0,15.0,15.0,15.0,0
20110527T,16.0,16.0,16.0,16.0,0
20110531T,16.0,16.0,16.0,16.0,0
20110601T,15.0,15.0,15.0,15.0,0
20110602T,12.0,12.0,12.0,12.0,0
20110603T,9.0,9.0,9.0,9.0,0
20110606T,6.0,6.0,6.0,6.0,0
20110607T,6.0,6.0,6.0,6.0,0
20110608T,6.0,6.0,6.0,6.0,0
20110609T,6.0,6.0,6.0,6.0,0
20110610T,5.0,5.0,5.0,5.0,0
20110613T,6.0,6.0,6.0,6.0,0
20110614T,5.0,5.0,5.0,5.0,0
20110615T,5.0,5.0,5.0,5.0,0
20110616T,6.0,6.0,6.0,6.0,0
20110617T,7.0,7.0,7.0,7.0,0
20110620T,9.0,9.0,9.0,9.0,0
20110621T,9.0,9.0,9.0,9.0,0
20110622T,10.0,10.0,10.0,10.0,0
20110623T,10.0,10.0,10.0,10.0,0
20110624T,11.0,11.0,11.0,11.0,0
20110627T,25.0,25.0,25.0,25.0,0
20110628T,29.0,29.0,29.0,29.0,0
20110629T,30.0,30.0,30.0,30.0,0
20110630T,32.0,32.0,32.0,32.0,0
20110701T,34.0,34.0,34.0,34.0,0
20110705T,51.0,51.0,51.0,51.0,0
20110706T,52.0,52.0,52.0,52.0,0
20110707T,48.0,48.0,48.0,48.0,0
20110708T,43.0,43.0,43.0,43.0,0
20110711T,35.0,35.0,35.0,35.0,0
20110712T,31.0,31.0,31.0,31.0,0
20110713T,31.0,31.0,31.0,31.0,0
20110714T,31.0,31.0,31.0,31.0,0
20110715T,32.0,32.0,32.0,32.0,0
20110718T,44.0,44.0,44.0,44.0,0
20110719T,44.0,44.0,44.0,44.0,0
20110720T,47.0,47.0,47.0,47.0,0
20110721T,48.0,48.0,48.0,48.0,0
20110722T,51.0,51.0,51.0,51.0,0
20110725T,38.0,38.0,38.0,38.0,0
20110726T,35.0,35.0,35.0,35.0,0
20110727T,27.0,27.0,27.0,27.0,0
20110728T,27.0,27.0,27.0,27.0,0
20110729T,16.0,16.0,16.0,16.0,0
20110801T,10.0,10.0,10.0,10.0,0
20110802T,8.0,8.0,8.0,8.0,0
20110803T,2.0,2.0,2.0,2.0,0
20110804T,5.0,5.0,5.0,5.0,0
20110805T,5.0,5.0,5.0,5.0,0
20110808T,1.0,1.0,1.0,1.0,0
20110809T,2.0,2.0,2.0,2.0,0
20110810T,2.0,2.0,2.0,2.0,0
20110811T,3.0,3.0,3.0,3.0,0
20110812T,6.0,6.0,6.0,6.0,0
20110815T,7.0,7.0,7.0,7.0,0
20110816T,11.0,11.0,11.0,11.0,0
20110817T,7.0,7.0,7.0,7.0,0
20110818T,7.0,7.0,7.0,7.0,0
20110819T,6.0,6.0,6.0,6.0,0
20110822T,7.0,7.0,7.0,7.0,0
20110823T,9.0,9.0,9.0,9.0,0
20110824T,8.0,8.0,8.0,8.0,0
20110825T,11.0,11.0,11.0,11.0,0
20110826T,12.0,12.0,12.0,12.0,0
20110829T,22.0,22.0,22.0,22.0,0
20110830T,22.0,22.0,22.0,22.0,0
20110831T,28.0,28.0,28.0,28.0,0
20110901T,26.0,26.0,26.0,26.0,0
20110902T,26.0,26.0,26.0,26.0,0
20110906T,27.0,27.0,27.0,27.0,0
20110907T,28.0,28.0,28.0,28.0,0
20110908T,25.0,25.0,25.0,25.0,0
20110909T,25.0,25.0,25.0,25.0,0
20110912T,31.0,31.0,31.0,31.0,0
20110913T,31.0,31.0,31.0,31.0,0
20110914T,31.0,31.0,31.0,31.0,0
